t,Z_mpmath,kind,gap,norm_gap
10000000017776.3281250000,-1.620506367269e-02,min,,
10000000017812.1894531250,-1.437341336251e-02,min,,
10000000017856.7656250000,-1.192771778785e-02,min,,
10000000017969.5156250000,-3.777722885432e-03,min,,
10000000017988.3984375000,8.569514776260e-03,max,,
10000000018078.2734375000,-1.684626103788e-02,min,,
10000000018140.2871093750,1.127118886999e-02,max,,
10000000018182.8066406250,-8.180703270593e-03,min,,
10000000018222.0742187500,1.881345921428e-02,max,,
10000000018237.3046875000,1.635346966354e-02,max,,
10000000018279.2246093750,1.793715337152e-02,max,,
10000000018295.2558593750,-9.369562152789e-03,min,,
10000000018405.5957031250,-1.125998247936e-02,min,,
10000000018515.4453125000,-1.689805309046e-02,min,,
10000000018530.6289062500,1.022318663985e-02,max,,
10000000018537.7324218750,-1.354989662134e-02,min,,
10000000018537.7988281250,1.702029241098e-02,max,,
10000000018596.1152343750,-1.924813827202e-02,min,,
10000000018640.1953125000,1.938805436606e-02,max,,
10000000018641.2285156250,-6.885938252370e-03,min,,
10000000018690.2109375000,-1.729172595444e-02,min,,
10000000018701.7324218750,-1.150298024106e-02,min,,
10000000018777.1640625000,-8.008062575524e-03,min,,
10000000018822.0644531250,-1.921015294172e-02,min,,
10000000018830.2500000000,1.910308775533e-02,max,,
10000000018886.3398437500,-1.536359085112e-02,min,,
10000000018902.3867187500,1.989331915802e-02,max,,
10000000018903.1621093750,5.085129035583e-03,max,,
10000000018920.3652343750,5.345834836666e-03,max,,
10000000018981.9960937500,1.581614452336e-02,max,,
10000000018983.2890625000,1.688556489365e-02,max,,
10000000019108.1933593750,1.442464038080e-02,max,,
10000000019248.6699218750,-1.880345581865e-02,min,,
10000000019257.8007812500,1.249763884152e-02,max,,
10000000019348.8984375000,-9.401835699207e-03,min,,
10000000019354.0585937500,7.414267108996e-03,max,,
10000000019354.9414062500,7.389698051939e-03,max,,
10000000019419.7890625000,1.695712398921e-02,max,,
10000000019447.6992187500,-1.456418628776e-02,min,,
10000000019620.4863281250,1.555086262818e-02,max,,
10000000019709.8046875000,-1.214858434459e-02,min,,
10000000019744.3144531250,-2.866750220297e-04,min,5.36921786e-03,0.024009
10000000019752.5585937500,8.054211613086e-03,max,,
10000000019801.0292968750,-3.451301778230e-03,min,,
10000000020068.2500000000,-1.179675209058e-02,min,,
10000000020152.1308593750,-1.261994528357e-02,min,,
10000000020297.1503906250,-1.470409699436e-02,min,,
10000000020326.5820312500,-1.934192889823e-02,min,,
10000000020377.9003906250,1.129893168551e-02,max,,
10000000020377.9609375000,-7.583625945718e-03,min,,
10000000020428.9765625000,-1.485862848179e-02,min,,
10000000020480.4824218750,-1.088792978444e-02,min,,
10000000020482.3671875000,1.016643849289e-02,max,,
10000000020551.3515625000,1.678109818044e-02,max,,
10000000020613.9570312500,6.067684693872e-03,max,,
10000000020643.0156250000,7.027166842123e-03,max,,
10000000020681.6738281250,-1.289253705764e-02,min,,
10000000020705.9316406250,-1.176340350296e-02,min,,
10000000020705.9921875000,1.855928036408e-02,max,,
10000000020728.0195312500,7.472180501765e-03,max,,
10000000020786.1621093750,1.261103226865e-02,max,,
10000000020825.7578125000,-1.947667012389e-03,min,,
10000000020830.6347656250,-3.672893138292e-03,min,,
10000000021057.0097656250,-6.276550110900e-03,min,,
10000000021083.5820312500,1.419626030182e-03,max,7.09985370e-03,0.031748
10000000021172.2109375000,1.439090123051e-02,max,,
10000000021194.3847656250,-4.932972205959e-03,min,,
10000000021258.9238281250,-1.100280358979e-02,min,,
10000000021289.2636718750,8.242532270467e-03,max,,
10000000021321.5175781250,1.774105788582e-02,max,,
10000000021423.7910156250,-1.344012191149e-02,min,,
10000000021489.3906250000,-7.796511629911e-03,min,,
10000000021568.6542968750,-1.194458407182e-03,min,8.84100756e-03,0.039533
10000000021693.0136718750,-1.667701431138e-02,min,,
10000000021876.2519531250,5.855902953144e-03,max,,
10000000021895.1875000000,-7.377242264157e-03,min,,
10000000021989.7695312500,-1.638652750215e-02,min,,
10000000022020.7539062500,1.687611253005e-02,max,,
10000000022110.1406250000,1.408436710207e-02,max,,
10000000022140.7832031250,-1.219099471387e-02,min,,
10000000022219.5351562500,-7.952847057700e-03,min,,
10000000022398.4902343750,-1.088266633247e-02,min,,
10000000022403.0703125000,1.286013207141e-02,max,,
10000000022430.7753906250,1.089479773001e-02,max,,
10000000022580.4707031250,-7.061475337565e-03,min,,
10000000022635.7324218750,1.766129866162e-02,max,,
10000000022637.1347656250,6.100864730606e-03,max,,
10000000022654.7128906250,-5.083437601911e-03,min,,
10000000022660.3964843750,1.123571482888e-02,max,,
10000000022664.8496093750,1.427027473666e-02,max,,
10000000022699.3769531250,8.082264672378e-03,max,,
10000000022747.0136718750,9.168041601897e-03,max,,
10000000022792.7187500000,1.799219772428e-02,max,,
10000000022837.6425781250,-1.829054001435e-02,min,,
10000000022844.3359375000,-1.751228460289e-02,min,,
10000000022898.6718750000,1.601438782498e-02,max,,
10000000022954.1210937500,5.757461713940e-03,max,,
10000000022962.3652343750,-1.414292596078e-02,min,,
10000000023090.1855468750,-1.911939668156e-02,min,,
10000000023100.8066406250,1.006016268010e-02,max,,
10000000023227.0839843750,-1.469092217051e-02,min,,
10000000023232.1347656250,-6.231574437726e-03,min,,
10000000023245.5585937500,-1.941094076935e-03,min,,
10000000023245.5996093750,1.108284827516e-02,max,,
10000000023298.9843750000,3.415466884187e-04,max,3.14324433e-03,0.014055
10000000023579.6855468750,-1.318719387445e-02,min,,
10000000023640.4472656250,-6.255039352236e-03,min,,
10000000023731.5039062500,9.436013262171e-03,max,,
10000000023775.5839843750,-1.199241700716e-02,min,,
10000000023836.9550781250,1.508164199168e-02,max,,
10000000023871.1054687500,1.493008808651e-02,max,,
10000000023879.5234375000,1.870831333030e-02,max,,
10000000023976.3457031250,-1.769239197196e-02,min,,
10000000023988.1562500000,1.918807421177e-02,max,,
10000000024135.1601562500,-3.301866862122e-03,min,8.03779838e-03,0.035942
10000000024285.4804687500,1.870629057894e-02,max,,
10000000024321.1855468750,-1.338080608383e-02,min,,
10000000024324.5000000000,2.758665759207e-03,max,,
10000000024341.0039062500,1.814637443595e-02,max,,
10000000024358.4082031250,-8.545892206440e-03,min,,
10000000024503.4492187500,1.331571867526e-02,max,,
10000000024621.2421875000,-9.678622455281e-03,min,,
10000000024850.6191406250,2.868585424588e-04,max,5.94394825e-03,0.026579
10000000024857.5390625000,-2.152789257863e-03,min,,
10000000024870.5449218750,9.080063787250e-03,max,8.91247559e-03,0.039853
10000000024888.5273437500,1.408599709505e-02,max,8.48316626e-03,0.037933
10000000024995.4355468750,1.882099787873e-02,max,,
10000000025076.5605468750,-6.387195227009e-03,min,,
10000000025101.2578125000,-1.441198437639e-02,min,,
10000000025102.2910156250,2.802826900249e-03,max,,
10000000025156.8496093750,1.394362718451e-02,max,,
10000000025204.8437500000,4.593928831486e-03,max,,
10000000025218.1445312500,1.733267410062e-02,max,,
10000000025228.6523437500,-1.369376128426e-03,min,,
10000000025292.2597656250,-8.473657476817e-03,min,,
10000000025292.3281250000,1.516241137937e-02,max,,
10000000025335.1074218750,1.380141453703e-02,max,,
10000000025492.6855468750,1.950429720137e-03,max,,
10000000025503.2324218750,-1.228772097582e-02,min,,
10000000025546.3476562500,-1.220200532281e-02,min,,
10000000025611.6035156250,-6.775785782733e-03,min,,
